test,execution,fee,rebalance_offset,top_k,return,max_drawdown,sharpe,turnover
schedule_offset,next_open,0.001,21,10,0.5955332978552763,-0.23511648732580603,1.1842323124229337,6.386255124016124
schedule_offset,next_open,0.001,22,10,0.5097529383439425,-0.25724156481118676,1.021646033679939,6.564249410293108
schedule_offset,next_open,0.001,23,10,0.2443951039779797,-0.24288012166576867,0.6563270662726449,6.161809723281322
schedule_offset,next_open,0.001,24,10,0.4857343185721201,-0.24123061730309658,1.017858363667578,6.299410178906341
schedule_offset,next_open,0.001,25,10,0.4379136702884687,-0.2228458089053259,0.9829313094749014,5.938693851912158
schedule_offset,next_open,0.001,26,10,0.5293847473635411,-0.2182691632869871,1.1019158586968767,5.337147251040837
schedule_offset,next_open,0.001,27,10,0.5463764910466136,-0.21458299673551307,1.1972378478241883,5.455323091937002
schedule_offset,next_open,0.001,28,10,0.6769748990755382,-0.2551946463704592,1.2580308083501475,5.490060356207108
schedule_offset,next_open,0.001,29,10,0.5987340568810855,-0.2552636354353476,1.1504622909959779,4.774538313942377
schedule_offset,next_open,0.001,30,10,0.6096522358999632,-0.26114963843420047,1.1347581058323746,4.551637823031671
schedule_offset,next_open,0.001,31,10,0.4364907121487407,-0.2586293360316544,0.9677747297978089,4.819560492337617
schedule_offset,next_open,0.001,32,10,0.6154887093006551,-0.2387955220942246,1.186946390035764,5.336285734567364
schedule_offset,next_open,0.001,33,10,0.6303497631758652,-0.21151987307575848,1.1935720552299187,5.024196442459187
schedule_offset,next_open,0.001,34,10,0.8750102352986797,-0.20134006838478935,1.550983229608945,4.297046354583954
schedule_offset,next_open,0.001,35,10,0.8929398688819172,-0.1695829842113178,1.5518630471900352,4.036164137686361
schedule_offset,next_open,0.001,36,10,0.6849214440380682,-0.16863041110739696,1.3503147653726348,4.589560015034452
schedule_offset,next_open,0.001,37,10,0.6754794567271363,-0.17240240329837975,1.3412465817567873,5.612958784924227
schedule_offset,next_open,0.001,38,10,0.6946515289244155,-0.1589567505133327,1.3714839816642224,4.992646481185118
schedule_offset,next_open,0.001,39,10,0.7126054198012897,-0.14134165708559554,1.523282472217898,5.23572459961882
concentration,next_open,0.001,0,5,1.1296806481201833,-0.26214904599200595,1.4494302037089972,8.148651507327356
concentration,next_open,0.001,0,8,0.7337723082569925,-0.24047575521813425,1.3138475156515579,6.886051429412831
concentration,next_open,0.001,0,10,0.6576369375834183,-0.2218311287159338,1.3297193036178117,6.42628764508358
concentration,next_open,0.001,0,12,0.6345784546016968,-0.2200773898652546,1.3221415496251347,6.134667561200676
concentration,next_open,0.001,0,15,0.6363575770065697,-0.233016311160671,1.3421515558530464,5.032164250212112
concentration,next_open,0.001,0,20,0.6510811889977364,-0.19067753983585045,1.5896235500991402,4.003628503904045
