date,rl3_ai,spy_buy_hold,current_universe_equal_weight,simple_60d_momentum
2025-09-09,104118.31961296123,104199.64229089781,103027.25841812369,106325.78671598287
2025-09-10,105421.80284128831,104500.85328088359,102928.41389057886,108756.52420761061
2025-09-11,106265.03993194654,105369.29569464618,104456.05670289375,109288.80345090498
2025-09-12,105129.67827560451,105334.04581186053,103699.51677898983,107983.62106824004
2025-09-15,105411.0286983241,105894.82052498967,103515.82727176277,109112.27649141941
2025-09-16,104810.71196186497,105749.01553998064,103256.79384322165,108949.5891211865
2025-09-17,104937.44607162746,105617.6466921012,103410.72001421762,108614.17415898215
2025-09-18,106208.04514875726,106111.13516333516,104108.09738166882,109992.33512737387
2025-09-19,106314.49908619474,106636.68965697411,103967.20310272013,110670.04488504857
2025-09-22,106891.88196380193,107141.19309859326,104092.38723194004,111492.09557958062
2025-09-23,106250.40683642108,106557.96327079197,104162.17684644452,110797.7261391528
2025-09-24,105453.75040830282,106218.94146684482,103893.07336098539,109789.19437862014
2025-09-25,104502.64136542942,105728.90382565075,103089.52561883826,109006.41950927599
2025-09-26,105677.93305401364,106334.61843141966,104147.19972594114,109903.53794429249
2025-09-29,106482.87373693592,106633.476133298,104508.1017544123,111291.10692796491
2025-09-30,107071.17623442611,107035.13692951642,104849.21982604174,111870.45012844805
2025-10-01,107994.45396442786,107399.86692287246,105108.38840786928,113415.62852626626
2025-10-02,108431.75505426318,107523.572752755,105343.70368750492,113826.96810663443
2025-10-03,107096.3447814635,107521.99071032985,105662.33073566938,113462.5342658798
2025-10-06,107980.5398878584,107907.58388816772,105648.17113865296,113220.74459496334
2025-10-07,107665.78043075236,107507.52490990477,105184.48062979177,111959.05617188134
2025-10-08,109164.04921517253,108148.5882761109,105563.59477273459,113300.89971115456
2025-10-09,108584.15917314195,107835.2845493378,104733.57882230404,112808.93847739178
2025-10-10,105926.99969460124,104920.72734052168,102359.49394974964,110254.28432251689
2025-10-13,107144.90260792355,106530.64337566245,103447.25270422273,112335.8350328172
2025-10-14,107922.29073455028,106400.50061066252,104314.6021011444,111786.76425579301
2025-10-15,108391.80316745989,106872.86881552055,104496.45160486837,112860.80362397854
2025-10-16,107403.63881632646,106145.04031005941,103534.01322070418,112985.9179321056
2025-10-17,107748.54369638332,106747.55127991737,104007.86515122061,112019.50861120484
2025-10-20,108724.55834725147,107857.77921507056,105023.86893189835,112540.93422041442
2025-10-21,109106.61677293279,107856.16750934994,105486.7945998116,112107.72610642215
2025-10-22,108446.00442420134,107295.42245951627,104910.71886036725,111023.98589487284
2025-10-23,109936.18309599005,107931.69025962113,105501.923461433,113074.20180059358
2025-10-24,110460.0282760682,108813.7679015356,105849.85294038543,114852.83036059944
2025-10-27,111255.43404201725,110097.51622743365,106391.93550666283,115606.2011480792
2025-10-28,110268.00815483542,110389.9369941946,105444.20549175826,115385.22166926663
2025-10-29,108031.38135220516,110442.95519096786,104295.62430090347,117827.429099301
2025-10-30,106607.47819147601,109228.30256798878,103821.80860757538,116784.86819343867
2025-10-31,107005.40517089465,109586.59562622744,104059.14478178276,117403.82678912036
2025-11-03,106901.55393663028,109792.2512537334,103795.58555948123,117536.71278836273
2025-11-04,105486.0748932689,108490.813715969,103091.81132415595,114917.41583816259
2025-11-05,106441.91426811232,108866.78609830885,103731.9255086679,117610.86326122987
2025-11-06,105653.33696787053,107698.7246247508,103024.58964384515,116683.6604406205
2025-11-07,106388.81659110333,107804.75113053215,103970.22112133249,116565.55302103717
2025-11-10,107221.87264821421,109486.96650450284,104546.68892573402,118851.73581075645
2025-11-11,107948.09837596677,109737.6213512395,105128.61520452569,118023.4216177535
2025-11-12,108101.9853412976,109798.66841332045,105377.15829964953,117657.06837789628
2025-11-13,106895.26177448175,107976.67959108668,104097.98097763506,114697.09745383998
2025-11-14,106563.86513620206,107958.99037922034,103788.77816687892,115019.7992745781
2025-11-17,104919.17175172476,106953.20690742333,102428.85751217624,114666.96963894815
2025-11-18,104901.26032157223,106055.0616471283,102433.35894014646,114266.48995843498
2025-11-19,104752.67874374714,106464.77108418474,102188.83844150952,114873.00396326883
2025-11-20,103699.38500360855,104842.0108421047,100988.18837399448,111908.16594598882
2025-11-21,105689.73255599516,105886.35659801505,102957.11632359422,112719.6077312609
2025-11-24,105954.46299446776,107444.85625433802,103434.83658317832,115357.53908481653
2025-11-25,107552.5474392931,108455.47484329694,104944.78331638609,115952.24872674468
2025-11-26,108287.34184111597,109204.19619653537,105656.81621566555,117573.10894974659
2025-11-28,108819.43747560063,109800.2801190411,106241.91744166582,118777.8004128216
2025-12-01,108367.52446835085,109298.99020109806,105548.55541189542,118059.96424091405
2025-12-02,108085.20993365269,109501.4323049279,105469.42568222359,118534.87689323095
2025-12-03,109051.86104006789,109880.61821094387,106285.31182467048,118461.94218611286
2025-12-04,109362.32999156012,109960.95630284665,106427.12011563437,118621.4390461954
2025-12-05,109806.9229755832,110169.81556626357,106675.07029365112,119692.66693355191
2025-12-08,109363.33264776619,109838.84240315443,106099.83489551346,119877.90312595393
2025-12-09,109159.53804375527,109744.04839859172,105924.32990830176,119958.54173598235
2025-12-10,110833.56401369286,110471.87690405286,107375.2799639896,121630.57653740446
2025-12-11,111540.14843461703,110728.9489103766,108308.88266312167,121908.54018800211
2025-12-12,110231.67707381147,109538.39277108577,107537.32555561146,119533.3061176179
2025-12-15,109875.05836397194,109372.90124564862,107644.11762828373,119710.35954295144
2025-12-16,109454.28512139869,109074.05343153545,106906.67382894571,119472.9137614075
2025-12-17,108802.44734804418,107873.84683345113,106561.08544898703,117553.6631251847
2025-12-18,108982.11230763332,108688.4305904021,106818.38167753877,119235.3601036808
2025-12-19,109840.95015506074,109673.5288574901,107288.31799798748,120791.48319773469
2025-12-22,110699.48522746009,110356.77342985713,108169.13119034277,121618.06097911428
2025-12-23,110218.36451692901,110861.15821829438,107925.40126201801,121679.29074704442
2025-12-24,110564.96112617855,111251.13167609692,108332.18395763938,121990.03844404645
2025-12-26,110674.20641677827,111239.84973605248,108330.27625818933,121928.80073097612
2025-12-29,110511.4700438989,110843.42945536741,108097.29568829745,121457.17301285219
2025-12-30,110312.99107266784,110708.06595036444,107901.27876231869,121155.53559015605
2025-12-31,109455.13757431308,109887.84616727383,106957.40056705,120463.97994318257
2026-01-02,110496.15780424645,110089.26983129248,107808.79968070776,123116.89300060457
2026-01-05,111776.55488319846,110822.48716876432,108753.74121577395,123575.8629936039
2026-01-06,112943.43231255663,111481.56604308699,110120.48154914718,127279.62004576983
2026-01-07,111376.38438833345,111122.2149939765,108859.4013391711,126796.86786815584
2026-01-08,111876.89142514057,111110.93305393207,109715.19029096307,124915.405322032
2026-01-09,112720.32197225929,111845.75220935937,110396.48636852522,126410.13633987003
2026-01-12,112883.95375578485,112021.39846961304,110495.23881340724,127674.82471452228
2026-01-13,112905.67793213228,111797.41092550551,110558.33902030447,128619.81014636374
2026-01-14,112984.59924182508,111247.8983768905,110930.70886248177,128188.2999506205
2026-01-15,113230.86229961505,111550.8595013091,111486.10280376783,128460.08455153187
2026-01-16,112650.65489465518,111457.39045727748,111168.10174081824,127981.90224737953
2026-01-20,110326.8505777104,109188.4746499353,109524.06220508732,127733.2601588226
2026-01-21,112812.09490550763,110448.63076816812,111351.89496129859,130219.75566759093
2026-01-22,113750.26276966612,111025.53242626876,111535.46452557288,130376.7533210608
2026-01-23,113176.48091909094,111065.8052937543,111005.03556930053,129545.99762303311
2026-01-26,112856.53175670633,111629.82319385502,111232.4249524674,129433.8170721797
2026-01-27,112304.15818155259,112074.5748706288,111169.67780019394,131402.4865625639
2026-01-28,112546.68231294541,112063.29293058437,110876.24787455241,132681.68988871347
2026-01-29,111495.75790973668,111840.91709219747,110968.12498667468,133188.50191392744
2026-01-30,110299.04180222924,111507.35333461713,110596.50188374598,130925.84470054375
2026-02-02,111310.36483897477,112061.68122486373,111128.95857545338,132791.00174261077
2026-02-03,110346.91910723857,111114.15646537332,110729.10316415012,134581.77356542967
2026-02-04,110166.2603299599,110575.93574456792,111674.50303548721,131877.82152611137
2026-02-05,107582.0946429222,109194.92147281785,110613.19718643176,130804.88137448694
2026-02-06,111556.02837056313,111289.80272562699,112813.0493414212,134377.6520421867
2026-02-09,112801.52342297745,111826.41174071176,112957.65142201971,135689.0666112867
2026-02-10,113271.05679570424,111531.51903266148,113356.73895878291,134870.8299484211
2026-02-11,114205.19772902415,111505.7416288965,113515.9790775872,136722.25994513973
2026-02-12,111588.3887480074,109783.10507096292,111858.06674032465,135392.16603475044
2026-02-13,112909.38815352174,109860.44717002305,113046.43450680793,136711.29114145043
2026-02-17,113178.8271313276,110037.70513599734,112881.33411300596,136625.05678591886
2026-02-18,114046.63665156126,110592.0429140091,113518.63676192042,138011.72356083276
2026-02-19,113982.87838551591,110300.3736174001,113295.1951107691,138276.5317441758
2026-02-20,114572.86041456385,111098.04929593214,113874.28453521464,139248.03110089456
2026-02-23,112670.02113755431,109963.58644837848,112489.1973865117,139477.40486890107
2026-02-24,114374.55278671032,110762.85405710085,113444.5648309654,140647.39039903565
2026-02-25,115071.90451476166,111697.5049463565,113583.11870195867,142088.54599596676
2026-02-26,115450.54923244157,111077.08723379874,114261.02059195054,140445.54891337265
2026-02-27,115742.21434664837,110543.70163015524,114397.93516322829,140501.29479745516
2026-03-02,115921.53669893954,110606.54826549481,114325.4870775542,140953.40092357632
2026-03-03,114440.83051181918,109631.63439651878,113079.45517123022,137016.92633300705
2026-03-04,115757.21729672707,110405.12460147616,113575.43961075736,138578.69933522676
2026-03-05,116330.20805484301,109789.5420060803,112550.14700123058,135417.49836505737
2026-03-06,114349.12498163793,108350.51621615257,111123.11562378581,132247.67821713036
2026-03-09,115111.0551302753,109299.66256912876,111430.34959407107,135776.71032552188
2026-03-10,114027.1581495637,109124.0163088751,110472.26986178037,136865.63200332326
2026-03-11,113342.27084525378,108987.05098591666,110051.5948158465,137330.29420431965
