ticker,sector,final_weight,estimated_value
NKE,Consumer Discretionary,0.005058061113509924,680.9918499299661
BX,Financials,0.004997368253824438,672.8204692631007
COO,Health Care,0.004967508173289776,668.800258548753
NTRS,Financials,0.004939811631084935,665.0713357284336
PM,Consumer Staples,0.00489533729369551,659.0835351436722
RSG,Industrials,0.004887203433863585,657.988433259826
CTVA,Materials,0.004839696643973393,651.5923585573781
CCL,Consumer Discretionary,0.004833251772661653,650.7246535734624
DDOG,Information Technology,0.004760431082287864,640.9204429208135
DLTR,Consumer Staples,0.004725342743216745,636.1963258334993
APO,Financials,0.004723615891478751,635.9638312207967
GS,Financials,0.004644081915529357,625.2557776408592
PAYX,Industrials,0.004631814047482753,623.6040937311018
FIX,Industrials,0.004580002756853838,616.6284827487822
ABNB,Consumer Discretionary,0.004565911932729637,614.7313652225135
KVUE,Consumer Staples,0.00434184360926516,584.5639357109917
WYNN,Consumer Discretionary,0.004320990312794698,581.7563529985908
EQIX,Real Estate,0.004291369709410994,577.7683842806105
DXCM,Health Care,0.0042738907091512505,575.4150997997218
UNH,Health Care,0.004181066587873548,562.9177280502608
LYB,Materials,0.004158315749792938,559.854669901242
CPRT,Industrials,0.004129404045173867,555.9621437392741
GPC,Consumer Discretionary,0.004123096971285285,555.1129911057565
FANG,Energy,0.004115611075781578,554.1051278725828
AON,Financials,0.004079468210321403,549.2390346682611
WAT,Health Care,0.004037387336008946,543.5734778864007
EL,Consumer Staples,0.00393542625441454,529.8459518605928
DE,Industrials,0.0038921477413870853,524.0191510396091
CVNA,Consumer Discretionary,0.0038892517008523204,523.6292427413536
NWS,Communication Services,0.003873578247453785,521.5190479878439
KKR,Financials,0.003866037152306275,520.5037529528978
AXON,Industrials,0.003861009987414048,519.8269208144492
ESS,Real Estate,0.0038332931863343848,516.0952704413513
KDP,Consumer Staples,0.0037682064631742655,507.33232214634114
IQV,Health Care,0.0037079493221084197,499.2196044379056
FSLR,Information Technology,0.00369117975645141,496.96183465557004
CPT,Real Estate,0.0036905903956094303,496.8824860828563
COF,Financials,0.003688752718420045,496.635070490065
MPC,Energy,0.0036854218371956144,496.18661743344546
JKHY,Financials,0.003599128860456249,484.56856606021375
RVTY,Health Care,0.0035953115741415506,484.0546258742766
HAS,Consumer Discretionary,0.0035760457185085035,481.46076819371405
CARR,Industrials,0.003556980731343565,478.89395443109163
TMUS,Communication Services,0.0035522905023015446,478.26248563697413
LEN,Consumer Discretionary,0.003471217828594032,467.3472695476739
GD,Industrials,0.003448341240298127,464.26728102359215
SBUX,Consumer Discretionary,0.0034456998628404666,463.9116592782457
INVH,Real Estate,0.0033795467139588393,455.0051328000928
STZ,Consumer Staples,0.0032731947849071723,440.6864452075149
ARES,Financials,0.003205113508992179,431.5203254255474
GDDY,Information Technology,0.0031061065906716244,418.1905330505808
GM,Consumer Discretionary,0.003071432145096879,413.52214049712353
DECK,Consumer Discretionary,0.002861770417758512,385.2943424623565
CRH,Materials,0.0028435355255649127,382.83928850205047
HII,Industrials,0.0028147758348266855,378.96722872267617
LVS,Consumer Discretionary,0.0028062229812236554,377.8157156296946
FLEX,Information Technology,0.002690390360627686,362.22059552108294
J,Industrials,0.002365748989519149,318.51251787755456
