date,rl3_ai,spy_buy_hold,point_in_time_equal_weight,simple_60d_momentum
2025-11-04,100000.0,108490.813715969,101380.53374115987,108190.44149540117
2025-11-05,100000.0,108866.78609830885,101926.49469775216,110303.99702651863
2025-11-06,100000.0,107698.7246247508,101150.906447752,109556.62889774654
2025-11-07,100000.0,107804.75113053215,102121.0941083389,109254.16713111187
2025-11-10,100000.0,109486.96650450284,102604.30754251125,111035.39674849722
2025-11-11,100000.0,109737.6213512395,103265.44920057568,111210.44569552557
2025-11-12,100000.0,109798.66841332045,103512.38668323512,110988.22562874289
2025-11-13,100000.0,107976.67959108668,102414.5592884112,108403.64435164642
2025-11-14,100000.0,107958.99037922034,102084.00522869591,108303.16738723841
2025-11-17,100000.0,106953.20690742333,100732.61170414352,108268.819573615
2025-11-18,100000.0,106055.0616471283,100768.73342665297,107698.83708645432
2025-11-19,100000.0,106464.77108418474,100434.64365390486,108168.31055372623
2025-11-20,100000.0,104842.0108421047,99373.1801545676,105849.40340118445
2025-11-21,100000.0,105886.35659801505,101396.22327417589,107111.86737312062
2025-11-24,100000.0,107444.85625433802,101672.96075336955,109229.89322836137
2025-11-25,100000.0,108455.47484329694,103218.90562397656,110600.52388430298
2025-11-26,100000.0,109204.19619653537,103837.79504405732,111580.13146862335
2025-11-28,100000.0,109800.2801190411,104352.31426791423,112271.85637627389
2025-12-01,100000.0,109298.99020109806,103680.45259856162,111198.51860587708
2025-12-02,100000.0,109501.4323049279,103585.78590318964,112024.44245400169
2025-12-03,100000.0,109880.61821094387,104363.09537420554,112072.39766755459
2025-12-04,100000.0,109960.95630284665,104401.51773365827,111734.88626330678
2025-12-05,100000.0,110169.81556626357,104615.73997449489,112807.22203420055
2025-12-08,100000.0,109838.84240315443,103955.08004058305,112852.79402867409
2025-12-09,100000.0,109744.04839859172,103730.39622330641,113028.47562594016
2025-12-10,100000.0,110471.87690405286,105159.12996266276,114963.80053271464
2025-12-11,100000.0,110728.9489103766,106096.49384705826,115283.49649391933
2025-12-12,100000.0,109538.39277108577,105545.18294511549,113312.08217773768
2025-12-15,100000.0,109372.90124564862,105647.29283929808,113662.75342666612
2025-12-16,100000.0,109074.05343153545,104913.68858064197,113304.78650386597
2025-12-17,100000.0,107873.84683345113,104690.43191056176,111062.68783629824
2025-12-18,100000.0,108688.4305904021,104844.33347397867,112695.047528741
2025-12-19,100000.0,109673.5288574901,105136.34626058565,114259.25223940203
2025-12-22,100000.0,110356.77342985713,105943.77141253104,115166.6456853941
2025-12-23,100000.0,110861.15821829438,105658.44021294749,115112.98999151865
2025-12-24,100000.0,111251.13167609692,106069.22575040002,115537.06291846934
2025-12-26,100000.0,111239.84973605248,106095.3458649768,115494.2648525333
2025-12-29,100000.0,110843.42945536741,105899.93327821168,115007.88746356267
2025-12-30,100000.0,110708.06595036444,105730.49575303185,114672.1299130652
2025-12-31,100000.0,109887.84616727383,104834.63388473766,113890.50838423966
2026-01-02,100000.0,110089.26983129248,105559.81462562937,115922.84157705694
2026-01-05,100000.0,110822.48716876432,106484.74246052546,117123.74137378848
2026-01-06,100000.0,111481.56604308699,107737.24987248406,119569.78478435679
2026-01-07,100000.0,111122.2149939765,106470.94438045676,118855.38593693981
