date,equity
2025-06-17,113448.21929298913
2025-06-18,114461.63299201569
2025-06-20,114560.05751213655
2025-06-23,115290.56481766261
2025-06-24,117703.15712871909
2025-06-25,116650.86604952309
2025-06-26,117894.97060387018
2025-06-27,117553.96213962646
2025-06-30,121127.42164104045
2025-07-01,117383.64488883366
2025-07-02,118965.40102348081
2025-07-03,120036.26386732655
2025-07-07,120682.12868001529
2025-07-08,119411.20777749825
2025-07-09,121361.06456993251
2025-07-10,120529.73533098248
2025-07-11,120017.12962880934
2025-07-14,122529.74846578902
2025-07-15,121850.30493785761
2025-07-16,122550.30326446242
2025-07-17,123141.20317154062
2025-07-18,124470.12350353104
2025-07-21,123640.77631323464
2025-07-22,120997.2794816222
2025-07-23,122597.02176624016
2025-07-24,120595.33657695157
2025-07-25,122174.43024048294
2025-07-28,122907.37438619527
2025-07-29,122019.61741575508
2025-07-30,123028.36224966752
2025-07-31,125122.9143898735
2025-08-01,122387.32800577313
2025-08-04,125491.47208844492
2025-08-05,124711.28909588572
2025-08-06,126412.948987607
2025-08-07,127858.73380108253
2025-08-08,128839.8096125877
2025-08-11,128721.34673353664
2025-08-12,130648.47885706245
2025-08-13,128026.03352593881
2025-08-14,126606.37407288922
2025-08-15,127098.8912907751
2025-08-18,128075.55408575987
2025-08-19,122854.7572058912
2025-08-20,122159.54186193719
2025-08-21,122148.65633940937
2025-08-22,125206.18349887336
2025-08-25,125026.39651873264
2025-08-26,127576.53290110022
2025-08-27,126438.30023209046
2025-08-28,128176.01960260778
2025-08-29,126662.21637723582
2025-09-02,125242.16586974275
2025-09-03,125704.77789991032
2025-09-04,127294.10853451904
2025-09-05,125727.25022581198
2025-09-08,129925.07318301729
2025-09-09,131863.68581862975
2025-09-10,132923.31020694744
2025-09-11,133647.14398538205
2025-09-12,133448.78507697
2025-09-15,133663.76064102343
2025-09-16,133823.1482909342
2025-09-17,133995.8104441249
2025-09-18,137040.1035746807
2025-09-19,138932.90941125833
2025-09-22,138215.29302627046
2025-09-23,137206.41916242792
2025-09-24,135739.54556457972
2025-09-25,134189.9600424553
2025-09-26,135343.64555316875
2025-09-29,139528.6615758709
2025-09-30,139611.45780652855
2025-10-01,139168.46765326915
2025-10-02,141310.2496562453
2025-10-03,139930.9686918511
2025-10-06,138285.71301071357
2025-10-07,138828.3936483279
2025-10-08,140402.64409549214
2025-10-09,139984.86312055297
2025-10-10,132191.02366633873
2025-10-13,135152.11918839638
2025-10-14,135004.51142556945
2025-10-15,135776.81065114576
2025-10-16,133062.39263084735
2025-10-17,132012.71166309158
2025-10-20,132714.44881526206
2025-10-21,132425.7069717447
2025-10-22,130286.69638944283
2025-10-23,135154.3959996882
2025-10-24,137775.1380002283
2025-10-27,140584.55731440577
2025-10-28,141003.04554841822
2025-10-29,144107.10477414983
2025-10-30,138768.65948321734
2025-10-31,142047.94936616367
2025-11-03,144682.57087497538
2025-11-04,137809.10395095026
2025-11-05,141213.8619184197
2025-11-06,137222.44629635432
2025-11-07,137071.55098697776
2025-11-10,143462.5269639695
2025-11-11,139896.3491890197
2025-11-12,138347.86206026527
2025-11-13,130958.11378153689
2025-11-14,131091.3653463677
2025-11-17,130253.47815362716
2025-11-18,127563.8672061348
2025-11-19,130312.25859466296
2025-11-20,123299.41572827379
2025-11-21,122549.71967768339
2025-11-24,130565.52510925422
2025-11-25,132172.86352833727
2025-11-26,136277.6331703988
2025-11-28,138543.6807128692
2025-12-01,137585.28199229206
2025-12-02,139022.70626166608
2025-12-03,141073.5059130575
2025-12-04,143224.892113311
2025-12-05,144741.98091459257
2025-12-08,147552.51110793592
2025-12-09,149162.35632991162
2025-12-10,151614.5040795955
2025-12-11,149976.21586419793
2025-12-12,142717.8328210519
2025-12-15,141504.13673414072
2025-12-16,143367.09027262375
2025-12-17,137730.30038907882
2025-12-18,142957.3640666952
2025-12-19,148565.8592543089
2025-12-22,150467.20522912536
2025-12-23,150657.6766200046
2025-12-24,151801.83405197773
2025-12-26,151259.04385792033
2025-12-29,149849.9241150625
2025-12-30,148766.2816568263
2025-12-31,146274.20422611944
2026-01-02,152728.06603519543
2026-01-05,156093.99735324807
2026-01-06,163081.43704548196
2026-01-07,159145.03299016808
2026-01-08,154959.9674657921
2026-01-09,160532.87140588643
2026-01-12,163998.2841014286
2026-01-13,165311.2445533603
2026-01-14,163890.04330504333
2026-01-15,166705.21810022742
2026-01-16,168862.645066409
2026-01-20,167419.86269440537
2026-01-21,172928.96998514794
2026-01-22,172048.1940231439
2026-01-23,172441.8029769657
2026-01-26,172989.60191620013
2026-01-27,178631.4348462986
2026-01-28,180050.0144675855
2026-01-29,180690.48288161118
2026-01-30,168829.62856344035
2026-02-02,171905.3397605141
2026-02-03,172180.81872648426
2026-02-04,158570.75290570658
2026-02-05,154894.973021491
2026-02-06,165686.4682681772
2026-02-09,168027.1799851212
2026-02-10,164654.37355796562
2026-02-11,168258.18422891948
2026-02-12,165838.14942729415
2026-02-13,168376.43269944287
2026-02-17,167994.76825948362
2026-02-18,170461.7949220691
2026-02-19,169858.45642851124
2026-02-20,170273.0019512834
2026-02-23,168562.2331308752
2026-02-24,171226.90593485459
2026-02-25,173554.91642788018
2026-02-26,170071.0872729391
2026-02-27,169452.48328500803
2026-03-02,165963.72871392829
2026-03-03,157729.8448171844
2026-03-04,162129.90520533358
2026-03-05,159763.67670701054
2026-03-06,153752.8764214065
2026-03-09,159471.81765292454
2026-03-10,161866.17259768888
2026-03-11,162424.48812263366
2026-03-12,156747.83058899024
2026-03-13,156991.709958168
2026-03-16,161118.67394531643
2026-03-17,163100.26189023713
2026-03-18,160583.1424363336
2026-03-19,161152.73773425212
2026-03-20,156390.0615806775
2026-03-23,157540.65984038851
2026-03-24,157576.77050070133
2026-03-25,159080.8288331504
2026-03-26,150463.33523737776
2026-03-27,150381.7796771548
2026-03-30,144337.81081537242
2026-03-31,151922.6915411794
2026-04-01,158543.73323891213
2026-04-02,159804.97817137436
2026-04-06,162220.01430945314
2026-04-07,163417.04744934945
2026-04-08,173633.7823347895
2026-04-09,176728.74877196024
2026-04-10,178172.7269645007
2026-04-13,181249.64381074684
2026-04-14,185320.15000209713
2026-04-15,183701.8646874331
2026-04-16,185391.48518463282
2026-04-17,187156.31383670997
2026-04-20,186285.31546737504
2026-04-21,187717.7737391622
2026-04-22,191621.01909667786
2026-04-23,193826.2865714013
2026-04-24,204610.28274016042
2026-04-27,203888.26939323486
2026-04-28,197842.52903834064
2026-04-29,204105.5744137029
2026-04-30,210171.75001141953
2026-05-01,211860.57176652225
2026-05-04,211624.4099153363
2026-05-05,223582.8604564227
2026-05-06,235119.60921599343
2026-05-07,227414.99424272063
2026-05-08,243098.083324669
2026-05-11,251609.27078080154
2026-05-12,243965.90110625894
2026-05-13,246224.03848744626
2026-05-14,245685.8867365001
2026-05-15,236686.1511419721
2026-05-18,229490.3892779966
2026-05-19,228680.73387964218
2026-05-20,237240.3704709167
2026-05-21,240111.54267752724
2026-05-22,243174.17819280966
2026-05-26,258248.57204826153
2026-05-27,257323.30380906936
2026-05-28,257683.17779061524
2026-05-29,257475.22329527972
2026-06-01,260206.1555013709
2026-06-02,268599.3459104461
2026-06-03,276063.2154915071
2026-06-04,269408.38098363794
2026-06-05,244077.67799424424
2026-06-08,258762.00257144295
2026-06-09,255829.100806806
2026-06-10,248675.6998815404
2026-06-11,270345.3391406256
2026-06-12,277078.3721407698
2026-06-15,295759.90571214736
2026-06-16,285367.85040431796
2026-06-17,292597.29050992685
2026-06-18,307255.76586055
2026-06-22,316256.86207073333
2026-06-23,290892.3753019829
2026-06-24,288546.4363646597
2026-06-25,305020.66550116515
2026-06-26,287976.9368100683
2026-06-29,301090.54926130065
2026-06-30,312953.2059470189
2026-07-01,288942.7489416334
2026-07-02,272876.12184722675
2026-07-06,279346.7330540598
2026-07-07,262665.5638527988
2026-07-08,266152.0051726381
2026-07-09,275033.8327858551
2026-07-10,274772.3256548927
2026-07-13,262369.79855299846
2026-07-14,268827.80673943454
2026-07-15,258505.95681967423
2026-07-16,244780.27906827212
2026-07-17,241765.79299188437
2026-07-20,243175.56012358962
2026-07-21,260483.09128077497
2026-07-22,260530.86723279944
2026-07-23,260640.09275551757
2026-07-24,248309.157199591
