date,equity
2026-02-20,157917.11126985098
2026-02-23,156822.50607337325
2026-02-24,157846.7898540167
2026-02-25,160813.83360441233
2026-02-26,157572.84716683906
2026-02-27,156588.49691305438
2026-03-02,153795.36812455163
2026-03-03,146238.9057182251
2026-03-04,149157.33296370326
2026-03-05,146441.61720635285
2026-03-06,141230.75815835266
2026-03-09,146627.61625904113
2026-03-10,149037.16066341492
2026-03-11,148826.81414538075
2026-03-12,144722.9383041594
2026-03-13,144644.82092406743
2026-03-16,148685.02880025466
2026-03-17,151196.24085783283
2026-03-18,148085.65258320488
2026-03-19,148544.17923644304
2026-03-20,144416.05174025477
2026-03-23,146113.3102337907
2026-03-24,148318.02583190406
2026-03-25,147644.23107689057
2026-03-26,139262.41159318888
2026-03-27,139583.65946864925
2026-03-30,133217.21732258552
2026-03-31,141102.49763406962
2026-04-01,146715.56588605087
2026-04-02,145892.3548368062
2026-04-06,147239.49032514828
2026-04-07,148117.29388590483
2026-04-08,157664.8127689101
2026-04-09,160682.6152342468
2026-04-10,162108.30424720334
2026-04-13,163585.0190829708
2026-04-14,167470.88541745197
2026-04-15,164069.39377322365
2026-04-16,165392.3306977911
2026-04-17,168465.92922643587
2026-04-20,167699.44164775783
2026-04-21,168384.9191646377
2026-04-22,171380.65468267188
2026-04-23,173616.72214259446
2026-04-24,183058.4883747276
2026-04-27,182126.50916164226
2026-04-28,176034.87424853342
2026-04-29,181380.9265537058
2026-04-30,186587.6907974686
2026-05-01,187940.53687881478
2026-05-04,187255.63535972201
2026-05-05,197328.88432999948
2026-05-06,209004.87768161355
2026-05-07,201938.33678796378
2026-05-08,214663.53524415824
2026-05-11,221154.24250051932
2026-05-12,214998.13990452254
2026-05-13,216866.0703958595
2026-05-14,217584.2512572372
2026-05-15,209286.9770001671
2026-05-18,201281.08039357676
2026-05-19,200702.93577811075
2026-05-20,209449.1804685122
2026-05-21,213167.69825715153
2026-05-22,216155.09057123595
2026-05-26,230047.60256171873
2026-05-27,227849.6437255484
2026-05-28,228221.7268482401
2026-05-29,228077.33007144413
2026-06-01,231716.29512707054
2026-06-02,248032.00013916346
2026-06-03,255383.17046738474
2026-06-04,252488.83883006347
2026-06-05,225183.43301273516
2026-06-08,240284.94681554177
2026-06-09,235944.48932549646
2026-06-10,228067.1266755765
2026-06-11,250539.9993889746
2026-06-12,257591.41866528842
2026-06-15,273676.6103688732
2026-06-16,261381.5308299126
2026-06-17,268940.40645896445
2026-06-18,285176.54166527546
2026-06-22,295029.45970690757
2026-06-23,269967.96792409907
2026-06-24,268351.9349246434
2026-06-25,285191.89655456645
2026-06-26,268135.0722319324
2026-06-29,283798.7695688112
2026-06-30,297503.88820976805
2026-07-01,271579.87560611224
2026-07-02,252541.8065913654
2026-07-06,258010.28299438194
2026-07-07,241601.94117723472
2026-07-08,245800.90805621896
2026-07-09,254488.2897356262
2026-07-10,254330.37964118534
2026-07-13,242431.23309401417
2026-07-14,249001.4771619176
2026-07-15,238490.24585723953
2026-07-16,226225.78155118012
2026-07-17,223039.4473802619
2026-07-20,224022.38336006412
2026-07-21,240214.20200699894
2026-07-22,239070.9659280385
2026-07-23,239831.1650920327
2026-07-24,227693.41844933722
