date,equity
2026-02-27,157452.3083061405
2026-03-02,154642.86182156298
2026-03-03,147064.39972100212
2026-03-04,149994.35540454072
2026-03-05,147257.6794648225
2026-03-06,142014.85433025655
2026-03-09,147430.35921798763
2026-03-10,149852.47438664304
2026-03-11,149645.3408822446
2026-03-12,145511.54297015708
2026-03-13,145436.07547008287
2026-03-16,149504.20996444867
2026-03-17,152012.46340888998
2026-03-18,148942.43250921654
2026-03-19,149368.43249293964
2026-03-20,145212.9013565726
2026-03-23,146932.50935304243
2026-03-24,149140.19311516383
2026-03-25,148474.9731654321
2026-03-26,140075.13934613144
2026-03-27,140414.12977432864
2026-03-30,134043.74575779773
2026-03-31,141971.81377745915
2026-04-01,147629.00840242827
2026-04-02,146802.98053062626
2026-04-06,148154.54115463156
2026-04-07,149040.9755456355
2026-04-08,158620.65033970762
2026-04-09,161636.03833443206
2026-04-10,163069.36495733113
2026-04-13,164528.62052449732
2026-04-14,168430.13752749338
2026-04-15,164996.95388866545
2026-04-16,165780.30910192707
2026-04-17,168870.30067665564
2026-04-20,168103.26462805644
2026-04-21,168773.7671645555
2026-04-22,171766.1727571974
2026-04-23,173996.9874799309
2026-04-24,183406.64153204826
2026-04-27,182486.7372575479
2026-04-28,176377.08751650696
2026-04-29,181713.15420825357
2026-04-30,186896.80859769892
2026-05-01,188238.67233650395
2026-05-04,187595.09915070774
2026-05-05,197693.17397433723
2026-05-06,209304.54718224632
2026-05-07,202226.8273518875
2026-05-08,214945.78038933882
2026-05-11,221451.00812231324
2026-05-12,215277.81379361005
2026-05-13,217172.5182060979
2026-05-14,216858.5021350313
2026-05-15,208545.25620541742
2026-05-18,200599.1051910783
2026-05-19,200044.93718238955
2026-05-20,208785.67782175684
2026-05-21,212498.08673313845
2026-05-22,215455.7196190921
2026-05-26,229343.90238432368
2026-05-27,227190.9538463192
2026-05-28,227552.95721019743
2026-05-29,227381.61803268353
2026-06-01,230954.26930797176
2026-06-02,246976.1325776223
2026-06-03,254317.88951791803
2026-06-04,251339.12345409655
2026-06-05,224157.9261640489
2026-06-08,239214.93314570517
2026-06-09,234907.82471058078
2026-06-10,227075.51714048602
2026-06-11,249439.43829037386
2026-06-12,255775.36018659483
2026-06-15,271749.4663131379
2026-06-16,259406.84341542024
2026-06-17,266892.38424010907
2026-06-18,283060.1624393619
2026-06-22,292847.5578643074
2026-06-23,267904.7459710147
2026-06-24,266320.08830358705
2026-06-25,283124.79146338266
2026-06-26,266232.1193938196
2026-06-29,281786.7410079944
2026-06-30,295419.04740352836
2026-07-01,269602.1112586982
2026-07-02,250632.6752371197
2026-07-06,255954.24037647087
2026-07-07,239667.91836166088
2026-07-08,243815.49940948997
2026-07-09,252453.2050872979
2026-07-10,252258.19166209683
2026-07-13,240422.91794826998
2026-07-14,246876.14533989545
2026-07-15,236486.17766233318
2026-07-16,224331.67092518686
2026-07-17,221195.03971457796
2026-07-20,222176.00056879624
2026-07-21,238210.31935288745
2026-07-22,237071.19213958617
2026-07-23,237824.58657316997
2026-07-24,225808.8105710983
