signal_date,execution_date,ticker,action,weight_before,weight_after,weight_change,score
2025-12-17,2025-12-17,MU,BUY,0.0,0.1,0.1,0.9798994974874371
2025-12-17,2025-12-17,PLTR,BUY,0.09379910104041926,0.1,0.0062008989595807446,0.9698492462311559
2025-12-17,2025-12-17,ORCL,SELL,0.06228541892020858,0.0,-0.06228541892020858,0.5376884422110553
2025-12-17,2025-12-17,LRCX,SELL,0.10278204966438223,0.1,-0.0027820496643822246,0.949748743718593
2025-12-17,2025-12-17,GE,BUY,0.0,0.1,0.1,0.9195979899497488
2025-12-17,2025-12-17,KLAC,BUY,0.0,0.1,0.1,0.9095477386934674
2025-12-17,2025-12-17,APP,SELL,0.11418892030921043,0.0,-0.11418892030921043,0.879396984924623
2025-12-17,2025-12-17,CVNA,SELL,0.12041549384812757,0.0,-0.12041549384812757,0.5276381909547738
2025-12-17,2025-12-17,NEM,BUY,0.0,0.1,0.1,0.9597989949748744
2025-12-17,2025-12-17,APH,BUY,0.09781748507054386,0.1,0.0021825149294561474,0.9296482412060301
2025-12-17,2025-12-17,HOOD,BUY,0.08434830986166036,0.1,0.01565169013833964,0.9899497487437185
2025-12-17,2025-12-17,WDC,SELL,0.13161255854226578,0.1,-0.03161255854226577,1.0
2026-02-17,2026-02-17,AMD,BUY,0.08395355426605962,0.1,0.016046445733940387,0.9396984924623115
2026-02-17,2026-02-17,MU,SELL,0.14524116275988858,0.1,-0.04524116275988857,0.9899497487437185
2026-02-17,2026-02-17,PLTR,SELL,0.06144846828034485,0.0,-0.06144846828034485,0.6582914572864322
2026-02-17,2026-02-17,INTC,BUY,0.0,0.1,0.1,0.9195979899497488
2026-02-17,2026-02-17,LRCX,SELL,0.12449189201335135,0.1,-0.02449189201335135,0.9798994974874371
2026-02-17,2026-02-17,GE,SELL,0.09178637303702063,0.0,-0.09178637303702063,0.778894472361809
2026-02-17,2026-02-17,KLAC,SELL,0.102868089256576,0.1,-0.0028680892565760008,0.9296482412060301
2026-02-17,2026-02-17,NEM,SELL,0.10072458717543221,0.1,-0.0007245871754322092,0.9698492462311559
2026-02-17,2026-02-17,APH,BUY,0.09617997238891392,0.1,0.003820027611086088,0.9597989949748744
2026-02-17,2026-02-17,HOOD,SELL,0.05335454870490721,0.0,-0.05335454870490721,0.8492462311557789
2026-02-17,2026-02-17,WDC,SELL,0.139951352117506,0.1,-0.039951352117506,1.0
2026-02-17,2026-02-17,DG,BUY,0.0,0.1,0.1,0.949748743718593
2026-02-17,2026-02-17,DLTR,BUY,0.0,0.1,0.1,0.9095477386934674
2026-04-15,2026-04-15,AMD,SELL,0.11616057697035428,0.1,-0.01616057697035428,0.9095477386934674
2026-04-15,2026-04-15,MU,SELL,0.10433967451280353,0.1,-0.0043396745128035236,0.9899497487437185
2026-04-15,2026-04-15,INTC,SELL,0.12851760987503877,0.1,-0.028517609875038763,0.9396984924623115
2026-04-15,2026-04-15,AMAT,BUY,0.0,0.1,0.1,0.9597989949748744
2026-04-15,2026-04-15,LRCX,SELL,0.10298972975019217,0.1,-0.002989729750192169,0.9698492462311559
2026-04-15,2026-04-15,CAT,BUY,0.0,0.1,0.1,0.949748743718593
2026-04-15,2026-04-15,VRT,BUY,0.0,0.1,0.1,0.9798994974874371
2026-04-15,2026-04-15,KLAC,SELL,0.10866747453540009,0.1,-0.00866747453540008,0.9296482412060301
2026-04-15,2026-04-15,NEM,SELL,0.08463548869758745,0.0,-0.08463548869758745,0.879396984924623
2026-04-15,2026-04-15,APH,SELL,0.09059179486552316,0.0,-0.09059179486552316,0.8994974874371859
2026-04-15,2026-04-15,VLO,BUY,0.0,0.1,0.1,0.9195979899497488
2026-04-15,2026-04-15,WDC,SELL,0.11746769903160342,0.1,-0.017467699031603418,1.0
2026-04-15,2026-04-15,DG,SELL,0.07457371278031308,0.0,-0.07457371278031308,0.4974874371859297
2026-04-15,2026-04-15,DLTR,SELL,0.07205623898118427,0.0,-0.07205623898118427,0.5577889447236182
2026-06-11,2026-06-11,AMD,SELL,0.12848297381493437,0.1,-0.028482973814934365,0.9698492462311559
2026-06-11,2026-06-11,MU,SELL,0.14820604068633803,0.1,-0.04820604068633802,0.9899497487437185
2026-06-11,2026-06-11,INTC,SELL,0.12228471031679707,0.1,-0.02228471031679706,0.9798994974874371
2026-06-11,2026-06-11,AMAT,BUY,0.0952897700284216,0.1,0.004710229971578411,0.9195979899497488
2026-06-11,2026-06-11,MRVL,BUY,0.0,0.1,0.1,0.9396984924623115
2026-06-11,2026-06-11,LRCX,BUY,0.09282629829229824,0.1,0.007173701707701763,0.949748743718593
2026-06-11,2026-06-11,CAT,BUY,0.07928370218959621,0.1,0.020716297810403794,0.9296482412060301
2026-06-11,2026-06-11,VRT,BUY,0.06715698502831267,0.1,0.03284301497168733,0.9597989949748744
2026-06-11,2026-06-11,KLAC,SELL,0.09378746202372776,0.0,-0.09378746202372776,0.8592964824120604
2026-06-11,2026-06-11,NEM,BUY,0.0,0.1,0.1,0.9095477386934674
2026-06-11,2026-06-11,VLO,SELL,0.0741990945403161,0.0,-0.0741990945403161,0.8391959798994975
2026-06-11,2026-06-11,WDC,BUY,0.09848296307925812,0.1,0.001517036920741885,1.0
