ticker,sector,final_weight,estimated_value
CCL,Consumer Discretionary,0.004833251772661661,650.7246535734628
DDOG,Information Technology,0.004760431082287852,640.920442920811
DLTR,Consumer Staples,0.004725342743216759,636.1963258335005
APO,Financials,0.004723615891478744,635.963831220795
GS,Financials,0.004644081915529364,625.2557776408593
PAYX,Industrials,0.004631814047482771,623.6040937311035
FIX,Industrials,0.004580002756853848,616.6284827487827
ABNB,Consumer Discretionary,0.004565911932729622,614.7313652225107
KVUE,Consumer Staples,0.004341843609265175,584.5639357109931
WYNN,Consumer Discretionary,0.004320990312794683,581.756352998588
EQIX,Real Estate,0.0042913697094109984,577.7683842806102
DXCM,Health Care,0.004273890709151243,575.41509979972
UNH,Health Care,0.004181066587873561,562.9177280502619
LYB,Materials,0.004158315749792945,559.8546699012422
CPRT,Industrials,0.004129404045173866,555.9621437392733
GPC,Consumer Discretionary,0.0041230969712852976,555.1129911057574
FANG,Energy,0.004115611075781582,554.1051278725827
AON,Financials,0.004079468210321444,549.2390346682658
WAT,Health Care,0.004037387336008955,543.5734778864012
EL,Consumer Staples,0.003935426254414552,529.8459518605936
DE,Industrials,0.00389214774138712,524.0191510396131
CVNA,Consumer Discretionary,0.003889251700852319,523.6292427413526
NWS,Communication Services,0.003873578247453795,521.5190479878445
KKR,Financials,0.003866037152306276,520.5037529528972
AXON,Industrials,0.003861009987414062,519.8269208144503
ESS,Real Estate,0.003833293186334399,516.0952704413526
KDP,Consumer Staples,0.0037682064631742655,507.3323221463405
IQV,Health Care,0.0037079493221084257,499.2196044379058
FSLR,Information Technology,0.0036911797564514125,496.96183465556976
CPT,Real Estate,0.003690590395609444,496.88248608285755
COF,Financials,0.0036887527184200158,496.63507049006046
MPC,Energy,0.0036854218371956196,496.1866174334455
JKHY,Financials,0.0035991288604562605,484.56856606021466
RVTY,Health Care,0.0035953115741415576,484.0546258742769
HAS,Consumer Discretionary,0.0035760457185085074,481.46076819371393
CARR,Industrials,0.0035569807313435625,478.89395443109066
TMUS,Communication Services,0.0035522905023015615,478.2624856369758
LEN,Consumer Discretionary,0.003471217828594046,467.3472695476752
GD,Industrials,0.0034483412402981383,464.26728102359306
SBUX,Consumer Discretionary,0.0034456998628404696,463.9116592782455
INVH,Real Estate,0.0033795467139588428,455.00513280009267
STZ,Consumer Staples,0.0032731947849072023,440.6864452075184
ARES,Financials,0.0032051135089921816,431.5203254255472
GDDY,Information Technology,0.003106106590671608,418.1905330505781
GM,Consumer Discretionary,0.0030714321450968987,413.52214049712563
DECK,Consumer Discretionary,0.00286177041775853,385.2943424623585
CRH,Materials,0.002843535525564949,382.83928850205484
HII,Industrials,0.002814775834826693,378.9672287226766
LVS,Consumer Discretionary,0.002806222981223608,377.8157156296877
FLEX,Information Technology,0.002690390360627691,362.2205955210831
J,Industrials,0.0023657489895191493,318.5125178775542
